frequency,intensity,lower_state,upper_state
-39.97876353221659,1.753624009611111e-05,"(11, 30, 0)","(10, 30, 1)"
-39.978763532216306,1.7536240096111832e-05,"(10, 30, 3)","(10, 30, 2)"
-39.961957520320425,1.4884912632586445e-06,"(6, 24, 2)","(4, 24, 3)"
-39.961436651517886,1.488501623095879e-06,"(6, 24, 1)","(5, 24, 0)"
-39.94936774640996,1.4515050911285217e-05,"(11, 27, 1)","(10, 27, 0)"
-39.94936774640985,1.4515050911284168e-05,"(11, 27, 2)","(11, 27, 3)"
-39.93901620604048,6.486057503862154e-07,"(4, 20, 2)","(2, 19, 3)"
-39.92819699491332,7.285257227640705e-06,"(3, 26, 1)","(1, 25, 0)"
-39.91816576346652,6.897518546470005e-08,"(6, 16, 3)","(5, 16, 2)"
-39.91816576191373,6.897518546778516e-08,"(7, 16, 0)","(5, 16, 1)"
-39.86635554850267,4.15550920568672e-08,"(8, 29, 3)","(6, 30, 2)"
-39.86634220405057,4.1555096328273715e-08,"(7, 29, 0)","(6, 30, 1)"
-39.82105129623862,3.4441297877484984e-06,"(3, 23, 0)","(1, 22, 1)"
-39.81956388842195,3.744846509264154e-05,"(2, 30, 2)","(1, 29, 3)"
-39.81055671684669,3.745884451409736e-05,"(2, 30, 0)","(1, 29, 1)"
-39.71946887156679,0.00046390528658490666,"(8, 26, 1)","(7, 25, 0)"
-39.71946887156591,0.0004639052865849145,"(8, 26, 2)","(8, 25, 3)"
-39.68765416380944,2.027892171890691e-05,"(4, 26, 1)","(2, 25, 0)"
-39.68174476829279,1.3024457410199463e-07,"(4, 22, 3)","(2, 22, 2)"
-39.670896407065015,0.00035087770911767943,"(7, 29, 2)","(6, 28, 3)"
-39.67089632195564,0.0003508777093595443,"(7, 29, 1)","(7, 28, 0)"
-39.592676819117386,1.861641204651566e-07,"(2, 22, 0)","(0, 21, 1)"
-39.58299856894139,5.840114754778331e-08,"(3, 24, 2)","(0, 24, 3)"
-39.58007316070777,1.2074421357530742e-05,"(5, 23, 3)","(3, 22, 2)"
-39.57628418499027,1.3056806518343925e-06,"(5, 29, 3)","(2, 29, 2)"
-39.54460749733502,4.794510158072633e-05,"(4, 30, 2)","(3, 29, 3)"
-39.54203345832266,7.796570932060775e-07,"(6, 15, 3)","(4, 14, 2)"
-39.54203313792161,7.796570968704257e-07,"(5, 15, 0)","(4, 14, 1)"
-39.51487564259955,2.066102063270622e-07,"(3, 27, 2)","(1, 27, 3)"
-39.51032336254393,4.433730781032154e-06,"(5, 19, 2)","(3, 18, 3)"
-39.50931395594074,4.4338215856129804e-06,"(5, 19, 1)","(4, 18, 0)"
-39.50183430192051,2.382980988355093e-06,"(3, 23, 1)","(1, 22, 0)"
-39.50048212937972,1.362201866274162e-06,"(6, 23, 1)","(4, 23, 0)"
-39.50026186851093,1.3622057802892847e-06,"(6, 23, 2)","(5, 23, 3)"
-39.487603997889536,5.2885264960417325e-08,"(4, 16, 1)","(1, 15, 0)"
-39.44268687332767,3.9464314339010744e-07,"(4, 19, 1)","(2, 18, 0)"
-39.430262943939454,3.1420392745046086e-06,"(5, 30, 3)","(4, 30, 2)"
-39.40029924278345,2.990200234691917e-07,"(4, 19, 3)","(1, 18, 2)"
-39.39628327485906,0.0005571642337285704,"(9, 24, 0)","(8, 23, 1)"
-39.396283274858945,0.0005571642337286715,"(8, 24, 3)","(8, 23, 2)"
-39.392495598675964,2.2334944951634582e-07,"(1, 30, 3)","(0, 30, 2)"
-39.39196050752636,2.2335269571534318e-07,"(1, 30, 1)","(0, 30, 0)"
-39.35189102547517,1.2193796322085134e-05,"(4, 23, 0)","(3, 22, 1)"
-39.35109530121838,1.4764154952231391e-05,"(11, 26, 2)","(10, 26, 3)"
-39.35109530121815,1.4764154952232689e-05,"(11, 26, 1)","(11, 26, 0)"
-39.31512403994657,2.0261382253743166e-05,"(11, 29, 3)","(10, 29, 2)"
-39.31512403994657,2.0261382253742573e-05,"(10, 29, 0)","(10, 29, 1)"
-39.22710072447569,0.0003250336001537847,"(7, 30, 0)","(6, 29, 1)"
-39.22709470823776,0.00032503361912743765,"(6, 30, 3)","(6, 29, 2)"
-39.208151924175525,0.0006365248838818015,"(9, 22, 1)","(8, 21, 0)"
-39.20815192417538,0.0006365248838817803,"(9, 22, 2)","(9, 21, 3)"
-39.16612234757412,5.509863149118512e-05,"(2, 30, 3)","(1, 29, 2)"
-39.15577643650096,0.000693602743204228,"(9, 20, 3)","(9, 19, 2)"
-39.1557764365009,0.0006936027432042337,"(10, 20, 0)","(9, 19, 1)"
-39.12771970845472,0.0004622190680245416,"(8, 27, 3)","(7, 26, 2)"
-39.12771970823121,0.00046221906802524574,"(7, 27, 0)","(7, 26, 1)"
-39.11079432270901,3.1733035349035966e-06,"(6, 30, 0)","(4, 30, 1)"
-39.10725479503141,1.0293492336436123e-07,"(4, 21, 0)","(2, 21, 1)"
-39.06435074028914,5.531174298987004e-05,"(2, 30, 1)","(1, 29, 0)"
-39.05200700137769,1.2102401851866059e-06,"(6, 22, 2)","(4, 22, 3)"
-39.051918196553146,1.2102415585745292e-06,"(6, 22, 1)","(5, 22, 0)"
-39.01612052644744,2.2879712640344922e-07,"(4, 18, 2)","(2, 17, 3)"
-39.01481834661038,1.090842896347431e-05,"(1, 29, 1)","(0, 28, 0)"
-39.01477767001816,1.090844056798945e-05,"(1, 29, 3)","(0, 28, 2)"
-38.989450479215435,9.594402199702936e-07,"(2, 23, 2)","(0, 22, 3)"
-38.93588780635929,3.2792468921195046e-06,"(5, 29, 0)","(4, 29, 1)"
-38.9238453016124,2.675275777348167e-07,"(4, 24, 2)","(1, 24, 3)"
-38.831609424552,1.2977494485546407e-06,"(4, 29, 2)","(2, 29, 3)"
-38.798466528905934,4.834110760206035e-07,"(6, 14, 0)","(4, 13, 1)"
-38.79846645876039,4.834110765092986e-07,"(5, 14, 3)","(4, 13, 2)"
-38.77484263314739,1.3976122713427012e-05,"(11, 25, 2)","(11, 25, 3)"
-38.77484263314716,1.3976122713430856e-05,"(11, 25, 1)","(10, 25, 0)"
-38.76774779667909,6.829382062044041e-08,"(3, 25, 3)","(0, 25, 2)"
-38.74639261205968,3.2959000842036318e-06,"(6, 29, 3)","(4, 29, 2)"
-38.745308628210935,1.156190835076625e-05,"(5, 22, 0)","(3, 21, 1)"
-38.715291353907816,0.0005756334713060274,"(8, 25, 2)","(7, 24, 3)"
-38.7152913539077,0.0005756334713059806,"(8, 25, 1)","(8, 24, 0)"
-38.70899199827751,3.790230499348195e-06,"(5, 18, 1)","(3, 17, 0)"
-38.70859480173468,3.7902602943643234e-06,"(5, 18, 2)","(4, 17, 3)"
