,"(0, 18, 0)","(1, 18, 0)","(2, 18, 0)","(3, 18, 0)","(4, 18, 0)","(5, 18, 0)","(6, 18, 0)","(7, 18, 0)","(8, 18, 0)","(9, 18, 0)","(0, 18, 1)","(1, 18, 1)","(2, 18, 1)","(3, 18, 1)","(4, 18, 1)","(5, 18, 1)","(6, 18, 1)","(7, 18, 1)","(8, 18, 1)","(0, 18, 2)","(1, 18, 2)","(2, 18, 2)","(3, 18, 2)","(4, 18, 2)","(5, 18, 2)","(6, 18, 2)","(7, 18, 2)","(8, 18, 2)","(0, 18, 3)","(1, 18, 3)","(2, 18, 3)","(3, 18, 3)","(4, 18, 3)","(5, 18, 3)","(6, 18, 3)","(7, 18, 3)","(8, 18, 3)","(0, 19, 0)","(1, 19, 0)","(2, 19, 0)","(3, 19, 0)","(4, 19, 0)","(5, 19, 0)","(6, 19, 0)","(7, 19, 0)","(8, 19, 0)","(0, 19, 1)","(1, 19, 1)","(2, 19, 1)","(3, 19, 1)","(4, 19, 1)","(5, 19, 1)","(6, 19, 1)","(7, 19, 1)","(8, 19, 1)","(9, 19, 1)","(0, 19, 2)","(1, 19, 2)","(2, 19, 2)","(3, 19, 2)","(4, 19, 2)","(5, 19, 2)","(6, 19, 2)","(7, 19, 2)","(8, 19, 2)","(9, 19, 2)","(0, 19, 3)","(1, 19, 3)","(2, 19, 3)","(3, 19, 3)","(4, 19, 3)","(5, 19, 3)","(6, 19, 3)","(7, 19, 3)","(8, 19, 3)","(9, 19, 3)"
"(0, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,17.7133376301746j,-0.8567719195812707j,-0.0678293949197198j,0.006508030610530624j,-0.0003263787912840136j,8.605404353498225e-06j,-1.2519217128172116e-07j,-9.675132044409512e-10j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(1, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0.8572226914026629j,-14.142229497034965j,-2.2004617280576357j,0.21259625424847675j,-0.010662255766425344j,0.00028112436614078696j,-4.0898218924687e-06j,-3.1607189716409684e-08j,1.0750793111999054e-10j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(2, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0.0796759117414625j,-2.6097006841724717j,-8.833055064739202j,1.2085499853585577j,-0.06079026077956062j,0.0016028240255272091j,-2.3318024324033855e-05j,-1.8020764334215557e-07j,6.129567462011892e-10j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(3, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-0.02044175939642751j,0.6802372246759055j,6.925473385257531j,-7.634472869319453j,0.4132109123825384j,-0.010896498630899584j,0.00015852322962457393j,1.2251079636671565e-06j,-4.167074738383778e-09j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(4, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0.0015890040758288761j,-0.052910031744511j,-0.5853447054611498j,7.672340246145847j,-7.5875192191718135j,0.20748401957228504j,-0.003018558966808801j,-2.332819386959532e-05j,7.934838099622685e-08j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(5, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-5.714325897483975e-05j,0.0019027385874737879j,0.021057508929669923j,-0.2900789162048508j,7.41275325222118j,-7.167759789489648j,0.10642051046923034j,0.0008224478732479779j,-2.7974693768182954e-06j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(6, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,1.1183231226806932e-06j,-3.723757774852235e-05j,-0.0004121064844580796j,0.005677291917906721j,-0.149052570150716j,6.857854733574198j,-6.4814215592691715j,-0.05066883181276747j,0.0001723447706830041j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(7, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,-1.1987912584822993e-08j,3.991697422250163e-07j,4.417592338214842e-06j,-6.085796422211698e-05j,0.0015977890616588762j,-0.07464888939160462j,6.031052122934598j,5.492148575320293j,-0.018794473717424657j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(8, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,2.132401837261061e-09j,2.3599176410432807e-08j,-3.2510869767007624e-07j,8.535532258532898e-06j,-0.00039878165760563543j,0.032492498131505176j,4.837924664668687j,-4.014644486212357j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(9, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,5.793583027568952e-10j,-1.52106610515688e-08j,7.106448878606435e-07j,-5.7902945573668026e-05j,-0.008656770877981135j,2.883113852845831j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
