,"(0, 18, 0)","(1, 18, 0)","(2, 18, 0)","(3, 18, 0)","(4, 18, 0)","(5, 18, 0)","(6, 18, 0)","(7, 18, 0)","(8, 18, 0)","(9, 18, 0)","(0, 18, 1)","(1, 18, 1)","(2, 18, 1)","(3, 18, 1)","(4, 18, 1)","(5, 18, 1)","(6, 18, 1)","(7, 18, 1)","(8, 18, 1)","(0, 18, 2)","(1, 18, 2)","(2, 18, 2)","(3, 18, 2)","(4, 18, 2)","(5, 18, 2)","(6, 18, 2)","(7, 18, 2)","(8, 18, 2)","(0, 18, 3)","(1, 18, 3)","(2, 18, 3)","(3, 18, 3)","(4, 18, 3)","(5, 18, 3)","(6, 18, 3)","(7, 18, 3)","(8, 18, 3)","(0, 19, 0)","(1, 19, 0)","(2, 19, 0)","(3, 19, 0)","(4, 19, 0)","(5, 19, 0)","(6, 19, 0)","(7, 19, 0)","(8, 19, 0)","(0, 19, 1)","(1, 19, 1)","(2, 19, 1)","(3, 19, 1)","(4, 19, 1)","(5, 19, 1)","(6, 19, 1)","(7, 19, 1)","(8, 19, 1)","(9, 19, 1)","(0, 19, 2)","(1, 19, 2)","(2, 19, 2)","(3, 19, 2)","(4, 19, 2)","(5, 19, 2)","(6, 19, 2)","(7, 19, 2)","(8, 19, 2)","(9, 19, 2)","(0, 19, 3)","(1, 19, 3)","(2, 19, 3)","(3, 19, 3)","(4, 19, 3)","(5, 19, 3)","(6, 19, 3)","(7, 19, 3)","(8, 19, 3)","(9, 19, 3)"
"(0, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.920114479237826+0j),(-0.2383751343761598+0j),(0.0464197473510523+0j),(-0.006975186773480931+0j),(0.00035253596095147146+0j),(-9.295246589279208e-06+0j),(1.352280614513533e-07+0j),(1.0450769533679208e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(1, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(6.937336317735279+0j),(-8.520050341668087+0j),(1.522721293046428+0j),(-0.22787887410037933+0j),(0.011516769420495345+0j),(-0.00030366037379294704+0j),(4.4176777608649535e-06+0j),(3.4140940431252924e-08+0j),(-1.1612686273973103e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(2, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.6176381319522685+0j),(10.366173487442873+0j),(11.57027412561225+0j),(-1.3030569241657564+0j),(0.06566296255705902+0j),(-0.0017313125592574655+0j),(2.51872869203743e-05+0j),(1.946537793222404e-07+0j),(-6.620947422959143e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(3, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.15835568970692543+0j),(-2.1716115959696904+0j),(10.317226074862402+0j),(9.58749960776817+0j),(-0.4464625420185859+0j),(0.011770005776735646+0j),(-0.00017123106196561527+0j),(-1.3233173317236645e-06+0j),(4.501124783281415e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(4, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.012309177183891807+0j),(0.167605312775966+0j),(-0.6826552138188762+0j),(9.1919045366477+0j),(8.828160347914904+0j),(-0.2241261339509539+0j),(0.0032605382981476627+0j),(2.5198271693976946e-05+0j),(-8.570925480187017e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(5, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00044265866569863935+0j),(-0.006027193324804496+0j),(0.02453448057422768+0j),(-0.313442714586789+0j),(8.459015017497972+0j),(8.067367161965857+0j),(-0.11495243213974159+0j),(-0.0008883784611764836+0j),(3.021725295026071e-06+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(6, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(8.663058889969176e-06+0j),(0.00011795528520605042+0j),(-0.0004801521678243886+0j),(0.006133911782815676+0j),(-0.16100405840435136+0j),(7.64012938474356+0j),(7.164679359383675+0j),(0.05473070580490294+0j),(-0.00018616059095882907+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(7, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-9.286401362168555e-08+0j),(-1.264426509430894e-06+0j),(5.147010824933963e-06+0j),(-6.575271744615398e-05+0j),(0.0017258745481472527+0j),(-0.08063327669541247+0j),(6.626314577061671+0j),(-6.004956554323646+0j),(0.02030111359805642+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(8, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.960907989672453e-10+0j),(-6.754680804650936e-09+0j),(2.749579245947713e-08+0j),(-3.512569037304047e-07+0j),(9.21977637812368e-06+0j),(-0.0004307495305111899+0j),(0.035097236760847576+0j),(5.268837308691504+0j),(4.358077879074167+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(9, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(6.259536246230721e-10+0j),(-1.6430010073345664e-08+0j),(7.676129169705597e-07+0j),(-6.254466859426738e-05+0j),(-0.009350731173021579+0j),(3.1213156384690457+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
