,"(0, 18, 0)","(1, 18, 0)","(2, 18, 0)","(3, 18, 0)","(4, 18, 0)","(5, 18, 0)","(6, 18, 0)","(7, 18, 0)","(8, 18, 0)","(9, 18, 0)","(0, 18, 1)","(1, 18, 1)","(2, 18, 1)","(3, 18, 1)","(4, 18, 1)","(5, 18, 1)","(6, 18, 1)","(7, 18, 1)","(8, 18, 1)","(0, 18, 2)","(1, 18, 2)","(2, 18, 2)","(3, 18, 2)","(4, 18, 2)","(5, 18, 2)","(6, 18, 2)","(7, 18, 2)","(8, 18, 2)","(0, 18, 3)","(1, 18, 3)","(2, 18, 3)","(3, 18, 3)","(4, 18, 3)","(5, 18, 3)","(6, 18, 3)","(7, 18, 3)","(8, 18, 3)","(0, 19, 0)","(1, 19, 0)","(2, 19, 0)","(3, 19, 0)","(4, 19, 0)","(5, 19, 0)","(6, 19, 0)","(7, 19, 0)","(8, 19, 0)","(0, 19, 1)","(1, 19, 1)","(2, 19, 1)","(3, 19, 1)","(4, 19, 1)","(5, 19, 1)","(6, 19, 1)","(7, 19, 1)","(8, 19, 1)","(9, 19, 1)","(0, 19, 2)","(1, 19, 2)","(2, 19, 2)","(3, 19, 2)","(4, 19, 2)","(5, 19, 2)","(6, 19, 2)","(7, 19, 2)","(8, 19, 2)","(9, 19, 2)","(0, 19, 3)","(1, 19, 3)","(2, 19, 3)","(3, 19, 3)","(4, 19, 3)","(5, 19, 3)","(6, 19, 3)","(7, 19, 3)","(8, 19, 3)","(9, 19, 3)"
"(0, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.7956633407182379+0j),(0.08902795793552294+0j),(-0.009088063558173688+0j),(0.0006491591602240355+0j),(-2.3334209514728128e-05+0j),(4.56662282673802e-07+0j),(-4.8952086590077385e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(1, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.4131357795391475+0j),(2.715664848583427+0j),(-0.29669265856748983+0j),(0.021206905789678633+0j),(-0.0007622901338570462+0j),(1.4918403613623377e-05+0j),(-1.5991843540459024e-07+0j),(-8.542976888607919e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(2, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.23341132173013582+0j),(3.0938144099073885+0j),(-1.625611874964777+0j),(0.12089235021713408+0j),(-0.004346178784658462+0j),(8.505693098386833e-05+0j),(-9.117712529770079e-07+0j),(-4.870763564081541e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(3, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.059923173117666595+0j),(-0.9674193696127463+0j),(5.495666361895608+0j),(-0.8186472341977848+0j),(0.029546565665386913+0j),(-0.0005782436452184338+0j),(6.19850644049744e-06+0j),(3.3112977137420577e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(4, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.004658140098926802+0j),(0.07584882204562005+0j),(-0.8146621535740173+0j),(7.824241951077067+0j),(-0.562047218446733+0j),(0.0110107647164564+0j),(-0.00011803038150812558+0j),(-6.30528866367335e-07+0j),(1.1236291643180478e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(5, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00016751456944719508+0j),(-0.002727747479426243+0j),(0.02940583395300523+0j),(-0.5620414207895333+0j),(9.917739971893896+0j),(-0.38806721250599835+0j),(0.00416122370162735+0j),(2.222963034235119e-05+0j),(-3.961409227447595e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(6, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.278346712156922e-06+0j),(5.3383430022251986e-05+0j),(-0.0005754895596459001+0j),(0.0110106520647715+0j),(-0.3880672094389786+0j),(11.957700254418988+0j),(-0.2563369177364992+0j),(-0.0013695093726514827+0j),(2.440520570721379e-06+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(7, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(3.514237485641775e-08+0j),(-5.722458668989633e-07+0j),(6.168983909859835e-06+0j),(-0.00011802917393754705+0j),(0.004161223668839047+0j),(-0.2563369177359706+0j),(13.978350819894848+0j),(0.1493434780119063+0j),(-0.0002661426996255003+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(8, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.877354230740606e-10+0j),(-3.056990427759194e-09+0j),(3.295526781446216e-08+0j),(-6.30522419737701e-07+0j),(2.2229630170540946e-05+0j),(-0.00136950937264619+0j),(0.14934347801189402+0j),(15.990490421779457+0j),(-0.056991228196218734+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(9, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.1236194180302166e-09+0j),(-3.961409493643808e-08+0j),(2.440520569759736e-06+0j),(-0.0002661426996240124+0j),(-0.05699122819622483+0j),(17.99837861426763+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
