,"(0, 18, 0)","(1, 18, 0)","(2, 18, 0)","(3, 18, 0)","(4, 18, 0)","(5, 18, 0)","(6, 18, 0)","(7, 18, 0)","(8, 18, 0)","(9, 18, 0)","(0, 18, 1)","(1, 18, 1)","(2, 18, 1)","(3, 18, 1)","(4, 18, 1)","(5, 18, 1)","(6, 18, 1)","(7, 18, 1)","(8, 18, 1)","(0, 18, 2)","(1, 18, 2)","(2, 18, 2)","(3, 18, 2)","(4, 18, 2)","(5, 18, 2)","(6, 18, 2)","(7, 18, 2)","(8, 18, 2)","(0, 18, 3)","(1, 18, 3)","(2, 18, 3)","(3, 18, 3)","(4, 18, 3)","(5, 18, 3)","(6, 18, 3)","(7, 18, 3)","(8, 18, 3)","(0, 19, 0)","(1, 19, 0)","(2, 19, 0)","(3, 19, 0)","(4, 19, 0)","(5, 19, 0)","(6, 19, 0)","(7, 19, 0)","(8, 19, 0)","(0, 19, 1)","(1, 19, 1)","(2, 19, 1)","(3, 19, 1)","(4, 19, 1)","(5, 19, 1)","(6, 19, 1)","(7, 19, 1)","(8, 19, 1)","(9, 19, 1)","(0, 19, 2)","(1, 19, 2)","(2, 19, 2)","(3, 19, 2)","(4, 19, 2)","(5, 19, 2)","(6, 19, 2)","(7, 19, 2)","(8, 19, 2)","(9, 19, 2)","(0, 19, 3)","(1, 19, 3)","(2, 19, 3)","(3, 19, 3)","(4, 19, 3)","(5, 19, 3)","(6, 19, 3)","(7, 19, 3)","(8, 19, 3)","(9, 19, 3)"
"(0, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.6183148408846049+0j),(-0.07840590280708047+0j),(0.015268296371037542+0j),(-0.0022942653715410273+0j),(0.00011595546819777921+0j),(-3.0573751978297224e-06+0j),(4.44789649879933e-08+0j),(3.4380987498568464e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.198945866773165+0j),(-0.3019119034926458+0j),(-0.022591518049442674+0j),(0.002329842537631334+0j),(-0.0001341198079457158+0j),(4.110354381184648e-06+0j),(-7.145099141904823e-08+0j),(6.978977200831904e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(1, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.2818156704633883+0j),(-2.8023990033544672+0j),(0.5008506361928483+0j),(-0.07495349253298489+0j),(0.003788074230931887+0j),(-9.98794014005211e-05+0j),(1.4530545265276085e-06+0j),(1.1229643321784485e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.14882283778080962+0j),(-3.4586294914962386+0j),(-0.7290908930976678+0j),(0.07610430588918954+0j),(-0.00438147177312001+0j),(0.00013427849861760016+0j),(-2.3341841869119195e-06+0j),(2.2795869314157918e-08+0j),(1.1293309324267482e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(2, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.20315237774490294+0j),(3.4096223713300464+0j),(3.8056728983842367+0j),(-0.42859904333381005+0j),(0.021597738680845135+0j),(-0.000569460084897222+0j),(8.284555305423935e-06+0j),(6.402525377924295e-08+0j),(-2.177489554769027e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.013827172419340802+0j),(-0.4900453643548652+0j),(-2.4003938069254938+0j),(0.4312339684070361+0j),(-0.024980471205454213+0j),(0.0007655857244677211+0j),(-1.3308297235226085e-05+0j),(1.2997027597216881e-07+0j),(6.436901838369896e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(3, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.052086056914400575+0j),(-0.7142824194892501+0j),(3.3935226800453107+0j),(3.153502417006911+0j),(-0.14684962325494078+0j),(0.0038713682591769716+0j),(-5.632100023924419e-05+0j),(-4.3526320503504273e-07+0j),(1.4804455458305825e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.003547495922095533+0j),(0.12678696437829648+0j),(1.3652691855049452+0j),(-2.52800431434818+0j),(0.16975669765638235+0j),(-0.005204689845473065+0j),(9.047397060979456e-05+0j),(-8.835790285682821e-07+0j),(-4.375936565794575e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(4, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004048711508535988+0j),(0.0551284256131187+0j),(-0.2245376745585803+0j),(3.0233840270230004+0j),(2.9037419696286593+0j),(-0.07371914827057928+0j),(0.0010724501511866474+0j),(8.288168453362329e-06+0j),(-2.8191260560700296e-08+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00027575826517694906+0j),(-0.009858808198156377+0j),(-0.11142277400678191+0j),(1.3405627886788687+0j),(-2.9331008169996893+0j),(0.09909867875169079+0j),(-0.0017227822776862828+0j),(1.6824888103730666e-05+0j),(8.332578132065442e-08+0j),(-1.3947455912988725e-10+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(5, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00014559845938731317+0j),(-0.001982453141663121+0j),(0.00806983540613282+0j),(-0.10309699071489409+0j),(2.7823233788257546+0j),(2.6535032996014745+0j),(-0.03780993871441386+0j),(-0.0002922037797871601+0j),(9.939001993874196e-07+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(9.916730947601496e-06+0j),(0.0003545398019905964+0j),(0.00400776929566668+0j),(-0.049386229186327804+0j),(1.1231209413184393+0j),(-3.2457842733377547+0j),(0.060736422631984074+0j),(-0.0005931703702384741+0j),(-2.9376974093901418e-06+0j),(4.9154437880658555e-09+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(6, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.849437260944547e-06+0j),(3.8797631384993037e-05+0j),(-0.0001579307517668299+0j),(0.002017554776918347+0j),(-0.05295715338695476+0j),(2.5129770499820006+0j),(2.356592917989707+0j),(0.018001921262012627+0j),(-6.123159298664678e-05+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.940755956696084e-07+0j),(-6.938527151244267e-06+0j),(-7.843413311251976e-05+0j),(0.0009665381261775782+0j),(-0.022198668743289754+0j),(0.8902986108860067+0j),(-3.525636052005844+0j),(0.03654348995214015+0j),(0.000180983858009939+0j),(-3.028237512307116e-07+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(7, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.0544581221085554e-08+0j),(-4.158928610456525e-07+0j),(1.6929452011128776e-06+0j),(-2.162726065524194e-05+0j),(0.0005676714243089197+0j),(-0.026521746373143903+0j),(2.17951498195441+0j),(-1.9751390646980105+0j),(0.0066774042678925255+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.0805045705977673e-09+0j),(7.43777862077799e-08+0j),(8.407778299256846e-07+0j),(-1.0360845072826443e-05+0j),(0.00023796029070916958+0j),(-0.009583224133926871+0j),(0.6529119234733324+0j),(-3.7899923782641314+0j),(-0.01973655929762907+0j),(3.302341249917131e-05+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(8, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.6304127706668996e-10+0j),(-2.2216649254872337e-09+0j),(9.043840229223249e-09+0j),(-1.1553481699968192e-07+0j),(3.032551731948737e-06+0j),(-0.0001416813290794566+0j),(0.011544117390743852+0j),(1.7330161009145257+0j),(1.4334508148535476+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(3.9736936152310037e-10+0j),(4.491513499343437e-09+0j),(-5.534852387837578e-08+0j),(1.271205099625199e-06+0j),(-5.1194462325832875e-05+0j),(0.0034935035850625303+0j),(-0.4132429498649964+0j),(-4.0457870977195896+0j),(0.007071582043546172+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
"(9, 18, 0)",0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2.0598186934464796e-10+0j),(-5.404209521964046e-09+0j),(2.524818810393874e-07+0j),(-2.0572075363298253e-05+0j),(-0.003075624986932905+0j),(1.0266572946901111+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.2653929560221523e-09+0j),(9.12306425168206e-08+0j),(-6.225563628321432e-06+0j),(0.0007367722691636313+0j),(0.16873460937162804+0j),(-4.296365262642829+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
